Scheduler Start

First process arrives at 1.0

Time 1.0, Process 0, Started
Time 1.0, Process 0, Resumed
Time 1.5, Process 0, Paused
Time 1.5, Process 0, Resumed
Time 1.95, Process 0, Paused
Time 1.95, Process 0, Resumed
Time 2.355, Process 0, Paused
Time 2.3550000000000004, Process 1, Started
Time 2.3550000000000004, Process 1, Resumed
Time 2.6550000000000002, Process 1, Paused
Time 2.6550000000000002, Process 1, Resumed
Time 2.9250000000000003, Process 1, Paused
Time 2.9250000000000003, Process 1, Resumed
Time 3.168, Process 1, Paused
Time 3.168, Process 2, Started
Time 3.168, Process 2, Resumed
Time 3.2680000000000002, Process 2, Paused
Time 3.2680000000000002, Process 2, Resumed
Time 3.358, Process 2, Paused
Time 3.358, Process 2, Resumed
Time 3.439, Process 2, Paused
Time 3.439, Process 2, Resumed
Time 3.5119000000000002, Process 2, Paused
Time 3.5119000000000002, Process 2, Resumed
Time 3.57751, Process 2, Paused
Time 3.57751, Process 2, Resumed
Time 3.636559, Process 2, Paused
Time 3.636559, Process 2, Resumed
Time 3.6897031, Process 2, Paused
Time 3.6897031, Process 2, Resumed
Time 3.73753279, Process 2, Paused
Time 3.73753279, Process 2, Resumed
Time 3.780579511, Process 2, Paused
Time 3.780579511, Process 2, Resumed
Time 3.8193215599, Process 2, Paused
Time 3.8193215599, Process 2, Resumed
Time 3.85418940391, Process 2, Paused
Time 3.85418940391, Process 2, Resumed
Time 3.885570463519, Process 2, Paused
Time 3.885570463519, Process 2, Resumed
Time 3.9138134171671, Process 2, Paused
Time 3.9138134171671, Process 2, Resumed
Time 3.93923207545039, Process 2, Paused
Time 3.93923207545039, Process 2, Resumed
Time 3.962108867905351, Process 2, Paused
Time 3.962108867905351, Process 2, Resumed
Time 3.982697981114816, Process 2, Paused
Time 3.982697981114816, Process 2, Resumed
Time 4.0012281830033345, Process 2, Paused
Time 4.0012281830033345, Process 2, Resumed
Time 4.017905364703001, Process 2, Paused
Time 4.017905364703001, Process 2, Resumed
Time 4.032914828232701, Process 2, Paused
Time 4.032914828232701, Process 2, Resumed
Time 4.046423345409431, Process 2, Paused
Time 4.046423345409431, Process 2, Resumed
Time 4.058581010868488, Process 2, Paused
Time 4.058581010868488, Process 2, Resumed
Time 4.0695229097816386, Process 2, Paused
Time 4.0695229097816386, Process 2, Finished
Time 4.0695229097816386, Process 1, Resumed
Time 4.288222909781639, Process 1, Paused
Time 4.288222909781639, Process 1, Resumed
Time 4.485052909781639, Process 1, Paused
Time 4.485052909781639, Process 1, Resumed
Time 4.662199909781639, Process 1, Paused
Time 4.662199909781639, Process 1, Resumed
Time 4.821632209781638, Process 1, Paused
Time 4.821632209781638, Process 1, Resumed
Time 4.965121279781639, Process 1, Paused
Time 4.965121279781639, Process 1, Resumed
Time 5.094261442781638, Process 1, Paused
Time 5.094261442781638, Process 1, Resumed
Time 5.210487589481638, Process 1, Paused
Time 5.210487589481638, Process 1, Resumed
Time 5.315091121511638, Process 1, Paused
Time 5.315091121511638, Process 1, Resumed
Time 5.409234300338638, Process 1, Paused
Time 5.409234300338638, Process 1, Resumed
Time 5.493963161282938, Process 1, Paused
Time 5.493963161282938, Process 1, Resumed
Time 5.570219136132808, Process 1, Paused
Time 5.570219136132808, Process 1, Resumed
Time 5.638849513497691, Process 1, Paused
Time 5.638849513497691, Process 1, Resumed
Time 5.7006168531260855, Process 1, Paused
Time 5.7006168531260855, Process 1, Resumed
Time 5.756207458791641, Process 1, Paused
Time 5.756207458791641, Process 1, Resumed
Time 5.80623900389064, Process 1, Paused
Time 5.80623900389064, Process 1, Resumed
Time 5.85126739447974, Process 1, Paused
Time 5.85126739447974, Process 1, Resumed
Time 5.8917929460099305, Process 1, Paused
Time 5.8917929460099305, Process 1, Resumed
Time 5.928265942387101, Process 1, Paused
Time 5.928265942387101, Process 1, Resumed
Time 5.961091639126555, Process 1, Paused
Time 5.961091639126555, Process 1, Resumed
Time 5.990634766192064, Process 1, Paused
Time 5.990634766192064, Process 1, Resumed
Time 6.017223580551021, Process 1, Paused
Time 6.017223580551021, Process 1, Resumed
Time 6.041153513474082, Process 1, Paused
Time 6.041153513474082, Process 1, Resumed
Time 6.062690453104838, Process 1, Paused
Time 6.062690453104838, Process 1, Resumed
Time 6.082073698772518, Process 1, Paused
Time 6.082073698772518, Process 1, Resumed
Time 6.099518619873431, Process 1, Paused
Time 6.099518619873431, Process 1, Resumed
Time 6.115219048864251, Process 1, Paused
Time 6.115219048864251, Process 1, Resumed
Time 6.12934943495599, Process 1, Paused
Time 6.12934943495599, Process 1, Resumed
Time 6.142066782438555, Process 1, Paused
Time 6.142066782438555, Process 1, Resumed
Time 6.153512395172863, Process 1, Paused
Time 6.153512395172863, Process 1, Resumed
Time 6.163813446633741, Process 1, Paused
Time 6.163813446633741, Process 1, Finished
Time 6.163813446633741, Process 0, Resumed
Time 6.5283134466337405, Process 0, Paused
Time 6.5283134466337405, Process 0, Resumed
Time 6.856363446633741, Process 0, Paused
Time 6.856363446633741, Process 0, Resumed
Time 7.151608446633741, Process 0, Paused
Time 7.151608446633741, Process 0, Resumed
Time 7.4173289466337415, Process 0, Paused
Time 7.4173289466337415, Process 0, Resumed
Time 7.656477396633742, Process 0, Paused
Time 7.656477396633742, Process 0, Resumed
Time 7.8717110016337415, Process 0, Paused
Time 7.8717110016337415, Process 0, Resumed
Time 8.065421246133742, Process 0, Paused
Time 8.065421246133742, Process 0, Resumed
Time 8.239760466183741, Process 0, Paused
Time 8.239760466183741, Process 0, Resumed
Time 8.396665764228741, Process 0, Paused
Time 8.396665764228741, Process 0, Resumed
Time 8.537880532469242, Process 0, Paused
Time 8.537880532469242, Process 0, Resumed
Time 8.664973823885692, Process 0, Paused
Time 8.664973823885692, Process 0, Resumed
Time 8.779357786160498, Process 0, Paused
Time 8.779357786160498, Process 0, Resumed
Time 8.882303352207822, Process 0, Paused
Time 8.882303352207822, Process 0, Resumed
Time 8.974954361650415, Process 0, Paused
Time 8.974954361650415, Process 0, Resumed
Time 9.058340270148747, Process 0, Paused
Time 9.058340270148747, Process 0, Resumed
Time 9.133387587797246, Process 0, Paused
Time 9.133387587797246, Process 0, Resumed
Time 9.200930173680897, Process 0, Paused
Time 9.200930173680897, Process 0, Resumed
Time 9.261718500976182, Process 0, Paused
Time 9.261718500976182, Process 0, Resumed
Time 9.316427995541938, Process 0, Paused
Time 9.316427995541938, Process 0, Resumed
Time 9.365666540651118, Process 0, Paused
Time 9.365666540651118, Process 0, Resumed
Time 9.40998123124938, Process 0, Paused
Time 9.40998123124938, Process 0, Resumed
Time 9.449864452787818, Process 0, Paused
Time 9.449864452787818, Process 0, Resumed
Time 9.48575935217241, Process 0, Paused
Time 9.48575935217241, Process 0, Resumed
Time 9.518064761618543, Process 0, Paused
Time 9.518064761618543, Process 0, Resumed
Time 9.547139630120062, Process 0, Paused
Time 9.547139630120062, Process 0, Resumed
Time 9.57330701177143, Process 0, Paused
Time 9.57330701177143, Process 0, Resumed
Time 9.596857655257661, Process 0, Paused
Time 9.596857655257661, Process 0, Resumed
Time 9.61805323439527, Process 0, Paused
Time 9.61805323439527, Process 0, Resumed
Time 9.637129255619117, Process 0, Paused
Time 9.637129255619117, Process 0, Resumed
Time 9.65429767472058, Process 0, Paused
Time 9.65429767472058, Process 0, Resumed
Time 9.669749251911895, Process 0, Paused
Time 9.669749251911895, Process 0, Resumed
Time 9.68365567138408, Process 0, Paused
Time 9.68365567138408, Process 0, Resumed
Time 9.696171448909046, Process 0, Paused
Time 9.696171448909046, Process 0, Resumed
Time 9.707435648681516, Process 0, Paused
Time 9.707435648681516, Process 0, Resumed
Time 9.717573428476738, Process 0, Paused
Time 9.717573428476738, Process 0, Finished

-------------------------------------------------------------------------
Scheduler finished
The waiting time for process 0 is: 3.8
The waiting time for process 1 is: 1.3
The waiting time for process 2 is: 0.2
